0,0
1,0
2,3
3,0
4,3
5,0
6,7
7,8
8,2
9,9
10,7
11,1
12,2
13,9
14,9
15,1
16,2
17,9
18,1
19,1
20,2
21,9
22,2
23,2
24,2
25,5
26,9
27,2
28,9
29,0
30,0
31,0
32,0
33,0
34,3
35,0
36,3
37,0
38,8
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,4
48,0
49,0
50,0
51,4
52,4
53,4
54,0
55,7
56,3
57,0
58,7
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,1
69,9
70,2
71,9
72,1
73,1
74,2
75,9
76,2
77,1
78,9
79,9
80,1
81,1
82,1
83,9
84,9
85,2
86,1
87,2
88,1
89,4
90,5
91,7
92,2
93,9
94,2
95,1
96,9
97,0
98,3
99,3
100,3
101,7
102,0
103,7
104,7
105,0
106,7
107,0
108,7
109,3
110,3
111,3
112,0
113,3
114,5
115,7
116,0
117,7
118,5
119,5
120,0
121,3
122,9
123,9
124,9
125,9
126,0
127,8
128,7
129,7
130,8
131,8
132,8
133,7
134,7
135,8
136,7
137,7
138,8
139,4
140,2
141,2
142,4
143,1
144,1
145,1
146,2
147,9
148,2
149,9
150,1
151,2
152,1
153,1
154,9
155,9
156,9
157,1
158,1
159,7
160,8
161,2
162,8
163,7
164,0
165,7
166,7
167,3
168,7
169,7
170,3
171,3
172,0
173,3
174,5
175,4
176,9
177,2
178,2
179,2
180,2
181,4
182,9
183,9
184,4
185,8
186,9
187,9
188,1
189,9
190,8
191,0
192,7
193,7
194,0
195,7
196,3
197,8
198,0
199,0
200,0
201,3
202,7
203,0
204,3
205,0
206,3
207,3
208,0
209,3
210,0
211,0
212,7
213,8
214,3
215,0
216,0
217,3
218,0
219,3
220,3
221,0
222,0
223,3
224,3
225,0
226,3
227,3
228,3
229,0
230,0
231,3
232,7
233,0
234,7
235,0
236,3
237,3
238,5
239,2
240,1
241,9
242,2
243,9
244,5
245,1
246,9
247,1
248,1
249,2
250,2
251,1
252,2
253,1
254,9
255,9
256,1
257,9
258,2
259,2
260,1
261,9
262,2
263,4
264,9
265,1
266,1
267,1
268,9
269,9
270,9
271,1
272,1
273,1
274,1
275,1
276,9
277,1
278,1
279,1
280,1
281,1
282,9
283,4
284,4
285,0
286,2
287,4
288,4
289,2
290,2
291,4
292,0
293,4
294,2
295,4
296,7
297,7
298,2
299,7
300,4
301,9
302,9
303,1
304,9
305,1
306,5
307,5
308,9
309,2
310,5
311,9
312,5
313,5
314,9
315,1
316,9
317,5
318,1
319,1
320,9
321,5
322,9
323,2
324,4
325,2
326,7
327,2
328,7
329,4
330,4
331,9
332,2
333,9
334,8
335,3
336,3
337,3
338,3
339,0
340,0
341,7
342,0
343,3
344,3
345,7
346,3
347,0
348,0
349,7
350,3
351,0
352,3
353,8
354,1
355,2
356,1
357,1
358,2
359,1
360,0
361,0
362,2
363,3
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,3
372,3
373,0
374,2
375,0
376,0
377,7
378,0
379,7
380,7
381,3
382,0
383,7
384,7
385,0
386,5
387,0
388,7
389,0
390,2
391,1
392,2
393,9
394,9
395,2
396,1
397,1
398,2
399,1
400,1
401,4
402,2
403,1
404,1
405,2
406,5
407,5
408,5
409,5
410,9
411,2
412,1
413,9
414,2
415,1
416,2
417,1
418,2
419,5
420,0
421,3
422,3
423,3
424,0
425,2
426,2
427,7
428,7
429,8
430,3
431,0
432,3
433,0
434,7
435,7
436,0
437,3
438,7
439,2
440,5
441,8
442,5
443,9
444,2
445,1
446,9
447,1
448,9
449,1
450,2
451,2
452,2
453,1
454,9
455,1
456,2
457,1
458,2
459,1
460,5
461,0
462,0
463,7
464,3
465,5
466,3
467,7
468,4
469,5
470,0
471,3
472,7
473,3
474,8
475,7
476,7
477,9
478,4
479,4
480,2
481,8
482,8
483,8
484,4
485,2
486,2
487,8
488,8
489,4
490,2
491,1
492,1
493,9
494,1
495,1
496,1
497,9
498,1
499,9
500,9
501,1
502,9
503,1
504,9
505,1
506,3
507,0
508,0
509,0
510,0
511,7
512,0
513,0
514,3
515,3
516,3
517,0
518,3
519,2
520,5
521,8
522,9
523,3
524,7
525,3
526,0
527,3
528,7
529,0
530,3
531,5
532,7
533,0
